Kep_neve,Idopont,X_pozicio,Y_pozicio,Z_pozicio,Bizonyossag
katyu_0.jpg,Fri Mar 13 17:58:10 2026,128.995673884172,82.48141903802752,100.12790960876737,0.57
katyu_1.jpg,Fri Mar 13 17:58:14 2026,129.1490149020683,66.17363239079714,100.15693849767558,0.81
katyu_2.jpg,Fri Mar 13 17:58:24 2026,136.69269273802638,43.01009587571025,100.18756518582813,0.48
katyu_3.jpg,Fri Mar 13 17:58:32 2026,133.193308229791,81.00010696798563,100.17660583459656,0.40
katyu_4.jpg,Fri Mar 13 17:58:42 2026,132.7915583101567,145.3573676533997,100.14774661383126,0.53
katyu_0.jpg,Sun Mar 15 19:31:38 2026,129.88681837928016,124.35562080144882,100.15909035946243,0.52
katyu_1.jpg,Sun Mar 15 19:31:49 2026,129.53225457808003,96.47584950178862,100.16826851369115,0.40
katyu_2.jpg,Sun Mar 15 19:32:15 2026,129.77369627705775,45.473606914281845,100.16613283695187,0.35
katyu_3.jpg,Sun Mar 15 19:32:47 2026,134.16824054066092,96.17034835275263,100.16753378226713,0.45
katyu_4.jpg,Sun Mar 15 19:33:07 2026,133.342504510656,132.3506961017847,100.14743436127901,0.41
katyu_5.jpg,Sun Mar 15 19:33:25 2026,130.26327668968588,176.5657336190343,100.19685425027274,0.35
katyu_0.jpg,Sun Mar 15 19:43:56 2026,130.863357977767,129.98868076503277,100.1552739868348,0.70
katyu_1.jpg,Sun Mar 15 19:44:09 2026,130.48848123289645,84.59821373224258,100.15837708907202,0.86
